ID,chemIndex,porosity,freq,amp,initialStrain,initialStress,intervalCode,cycle,stiffness,stiffnessROC,damping,dampingROC,NVP
107,2,low,0.5,2.4039107664406652E-2,-0.29133322325570032,-110.36201609756436,I,9000,1.1159885237270681,-4.532087124045292e-6,-6.051353395505419,-5.516007439467785e-7,1.4804991779050081
118,2,low,0.29999999999999993,2.4718528557623479E-2,-0.29133607283822832,-99.292455569186998,I,9000,1.0417455996371237,8.251716425942801e-6,-6.070904812050904,-5.758425647828247e-7,1.4965408864690379
125,2,low,10.007692307692308,2.3109187217787746E-2,-0.29135883272624691,-116.38172865434537,I,9000,1.2004150695840796,-1.3343855679155413e-6,0.6754944949447124,-2.40998387871727e-7,1.5464072663980113
126,2,low,0.40000000000000008,2.4061549102421653E-2,-0.29133551917199146,-99.961184560208238,I,9000,0.9789986268912643,-1.9102585278474304e-7,-6.061722171554891,-5.065909869781393e-7,1.5102690851134519
154,2,low,0.5,2.4446100643851307E-2,-0.69291603183379524,-111.27783380790446,I,5000,-1.1381589326418136,-3.225611837720521e-6,-2.910960567355172,-1.5435878556768757e-7,1.4625648741657644
105,2,high,0.5,2.4053768858335774E-2,-0.52755878135939549,-11.309205798293299,I,9000,0.11866106658793066,-5.3329132275938e-7,-6.017748870996595,-5.563304355664655e-7,1.5882049166633789
127,2,high,10,2.3120995267766595E-2,-0.52757893569880199,-11.286631204923472,I,9000,0.1109186533654468,-1.4555588565497158e-7,0.8732871267278024,9.119077190122837e-8,1.5938608982747373
150,2,high,15,7.5980023919371517E-2,-0.52758250913579996,-11.247552581452979,I,6000,0.06876265311001399,-3.613726228926667e-7,1.096623043534466,-2.9729341595441384e-7,2.5202176980103617
151,2,high,14.996666666666666,2.2209895777175647E-2,-0.52757296345442162,-10.128652239928856,I,5000,0.06964631528134572,1.0734275029863904e-7,1.1435710994455315,-3.868891819593934e-7,1.5132753828091565
152,2,high,15.00344827586207,4.6110984293437303E-2,-0.5275596302975889,-9.7568620078289872,I,5000,0.16073522834476195,-1.0496289108877232e-7,0.44930831985331654,-1.5250848454084753e-6,1.6089216521832499
153,2,high,20,2.2590403908833941E-2,-0.52757513488626362,-10.21461550140822,I,5000,0.07198536602917567,1.8063113976993505e-6,1.2511818236407888,-1.1711531566203303e-5,1.4379899904867794
156,2,high,0.5,2.4341741191036756E-2,-0.45669171449968832,-12.285923280013334,I,5000,-0.15991423453509931,-1.6323446529507013e-6,-2.907444223056197,-5.2556262138807595e-6,1.6411359295848886
109,3,low,0.5,2.4178551084111738E-2,-0.29133686826991273,-157.58113193542448,I,9000,2.965357871530348,4.992871817678601e-6,-6.076539671236773,-5.05541617174643e-7,1.5458003515430991
111,3,low,0.5,2.4200331488404461E-2,-0.2913354684281298,-212.68782062723184,I,9000,2.947771952903146,-2.445576360381896e-6,-6.070564695162865,-5.971052815922917e-7,1.5265135719379221
128,3,low,0.02,2.4812812057302076E-2,-0.29133059815925855,-157.49605425274407,I,9000,2.1649546964456325,-9.55074732675465e-6,-6.096952115874079,-5.337458742644685e-7,1.6654807620127117
129,3,low,10.005555555555555,2.2995208930251101E-2,-0.29134838615455322,-189.5761103698693,I,9000,2.2960828058728677,-2.0817611105647947e-6,0.6558199021855895,-3.505478990573074e-7,1.6117468541121427
141,3,low,0.5,2.4089210191575599E-2,-0.69291668465565726,-174.21675831782167,I,5000,-2.1862257221987957,1.0047556412315916e-5,-2.918405113579936,-1.10344950246688e-6,1.5011260686518773
143,3,low,2,2.4569540548064036E-2,-0.29133401605071235,-186.7649021493599,I,5000,2.4839524526593277,-9.129378518667241e-6,-5.983771943513432,-9.984076304787593e-7,1.6335061321481472
145,3,low,15,2.2767054073013646E-2,-0.29144721583737276,-209.55184734073819,I,5000,2.2341138779352248,-6.3718208867991064e-6,0.8713891318752349,-6.355336400629685e-7,1.5478411039016158
168,3,low,15.007142857142856,3.7859706656321261E-2,-0.2913529057324557,-240.18896722005104,I,5000,2.894428327271808,-1.6472533079579412e-05,0.24710226996796125,-7.049786340695973e-7,1.6161286283169602
103,3,high,0.5,2.4476333130798222E-2,-0.52755930951866969,-22.593622784915166,I,9000,0.30363183346905087,-1.4559315690951813e-6,-6.069468415378514,-1.5053151131816378e-6,1.6177135550436701
108,3,high,10,2.3065943486435064E-2,-0.52756024422647796,-23.485219208487827,I,7000,0.4183390258299416,-1.1759682248337345e-6,0.29571105082997207,-2.7913734437401417e-7,1.7069371819528192
112,3,high,5,2.3964377933336459E-2,-0.52756223987618711,-19.879039773524777,I,9000,0.2843833148423787,-3.2676926176233857e-7,0.30129783549824785,-1.7949252294746643e-7,1.6798101402906651
142,3,high,0.5,2.4530083303194415E-2,-0.45669294622286438,-20.607753654852853,I,5000,-0.2784535040870482,1.9901936643286766e-6,-2.862457876208465,-7.206707198306183e-7,1.7358435103954917
148,3,high,15.001694915254237,2.2486050356579117E-2,-0.52755758950407772,-21.174834671245321,I,5000,0.36801124304318905,-8.861141555679963e-7,0.3136434465843383,-1.5100138498524983e-7,1.5650909385302294
166,3,high,9.9928571428571438,7.8057613088793984E-2,-0.52756141519875499,-25.208576638625807,I,5000,0.25279212206700774,-3.4415975653415696e-6,0.40724730756344396,6.665963523500019e-7,2.103921954534298
106,1,low,0.5,2.4128849143440812E-2,-0.2913375226002326,-62.799569925656819,J,10000,0.5245694348115248,8.134898695552062e-7,-6.040336667088301,-4.593391372171851e-7,1.4961478658586742
115,1,low,0.5,2.461566240160673E-2,-0.2913358267120093,-59.240175726957808,J,10000,0.472056204535934,3.4494386101389664e-6,-6.044439568349372,-8.800231792269742e-7,1.4466128335774484
116,1,low,10,2.3821421721616297E-2,-0.29134057453917039,-62.451156282278447,J,10000,0.5502425243263176,7.088237024893696e-7,0.7219806509087285,4.728790549024087e-6,1.5382862423266934
117,1,low,5,2.5272102221972091E-2,-0.29134028378272486,-62.471672978966268,J,10000,0.6149121664604217,4.1542873937686634e-6,0.5044334920121423,-2.254879071620142e-6,1.548796054877992
119,1,low,2,2.5382086905547281E-2,-0.29133856940915154,-61.845186771667528,J,10000,0.5552145560897025,2.969767983358462e-7,-5.915979621235586,2.694299137281142e-6,1.5996665666332881
137,1,low,14.995652173913042,2.2337381035514036E-2,-0.29133121992185868,-58.836185088457398,J,6000,0.4344338679422627,-6.799503666020668e-7,0.9297680246681492,-2.8321706436584826e-7,1.5098565969960023
139,1,low,0.5,2.4281769732657284E-2,-0.69291295559246502,-56.673020726236999,J,6000,-0.4281552601772832,-3.9055358891398884e-7,-2.903820116774771,-6.946259229163587e-7,1.5330244445317158
140,1,low,15.002564102564103,1.4673231262834157E-2,-0.2913399411996892,-60.168816557692132,J,6000,0.4586634834995832,-4.7434667453216675e-8,0.9199068417094438,-1.4860010488471075e-7,1.4914047327485669
144,1,low,2,2.5744210366941581E-2,-0.29133741391286039,-57.720437924635853,J,6000,0.4728215341855861,8.398705180607258e-7,-5.9103831210698425,1.5009154490903675e-5,1.8287785451982366
146,1,low,15,2.2408634659225365E-2,-0.29143764479162365,-61.767442515413371,J,6000,0.4355162811784494,-2.3310937388887344e-8,0.926053826131499,-3.8307250433855524e-7,1.5381258848058523
167,1,low,10,7.801228054574684E-2,-0.29130418402857716,-70.557869817436028,J,6050,0.40022540233852755,-1.4787479937388159e-6,0.7432443829818629,-2.8816333894710057e-7,1.708479344531969
104,1,high,0.5,2.4152293346591594E-2,-0.52755769422532572,-6.8013223668039462,J,10000,0.06403943324732042,3.186557737313578e-7,-6.009006474890187,-8.310735735355124e-7,1.5381028215992052
113,1,high,0.5,2.4258753733764193E-2,-0.52755998521085357,-5.40974125626341,J,10000,0.05147655787702635,4.1030693306694236e-08,-5.8971413951330796,1.3739558863168356e-7,1.6266880652790405
