ID,chemIndex,porosity,freq,amp,initialStrain,initialStress,intervalCode,cycle,stiffnessFrac,dampingFrac,stiffness,damping,stiffnessROC,dampingROC,NVP
167,1,low,10,7.801228054574684E-2,-0.29130418402857716,-70.557869817436028,C,500,0.8947992505348056,1.0182719335907824,0.4311967719989411,0.7496204579883323,-5.01954756974683e-5,-3.680336297986031e-6,1.6971485160204494
104,1,high,0.5,2.4152293346591594E-2,-0.52755769422532572,-6.8013223668039462,C,3000,0.9827850948202954,0.9393551256845851,0.06217780417254742,-6.002402377416802,-1.5884505942440064e-7,-1.6981513054261655e-6,1.5327739733873289
113,1,high,0.5,2.4258753733764193E-2,-0.52755998521085357,-5.40974125626341,C,3000,0.98936840629537,0.972145484075075,0.05011413675310509,-5.889046937848613,1.9541904855266412e-7,-2.6728115952074916e-6,1.581061569804995
114,1,high,0.5,2.4300551446183816E-2,-0.44881906066950328,-4.238312376470029,C,3000,1.0496584993115998,0.9479484332114608,0.03784378337840264,-5.926321212538383,3.571796304371669e-7,-2.266279285443318e-6,1.538262519617988
120,1,high,2,2.4319551746456163E-2,-0.44881966137082407,-4.683026855760013,C,3000,1.023935380601175,0.9662861497132703,0.041467738174949954,-5.80039370754419,1.9520653914539138e-7,-2.128441191560526e-6,1.6217334310492462
123,1,high,10,2.3155500796167072E-2,-0.52756846100808852,-5.730141348165807,C,3000,0.9945247119400772,0.9905016387291319,0.11580431139449582,0.49346336647864986,-1.0331679337624578e-7,-3.280197058375123e-7,1.5135326530582223
124,1,high,5,2.4043844946017488E-2,-0.52756540793483053,-5.8597449459478606,C,3000,0.9994848782659855,0.9930211620070976,0.07953620407006469,-5.5293487737636795,-1.779458328338146e-8,-3.733967181247522e-7,1.6384280467451326
131,1,high,2,2.4288179423705203E-2,-0.52755877026996834,-5.8932509077896755,C,3000,1.0104632351509233,0.9837959967112841,0.07192156061664343,-5.66193454161262,1.835076759625909e-7,-1.31332273837792e-6,1.6599013338358641
138,1,high,0.5,2.4139612236788142E-2,-0.45669205351708692,-6.0756811161405908,C,500,1.0218753749978837,0.9786142364609177,0.06971418057006407,-2.8678352571658787,2.177380099335935e-6,3.745867457962504e-5,1.6263334094374413
155,1,high,0.5,2.4770290556294913E-2,-0.45669222240591623,-7.6083469277822866,C,500,0.9928977571587073,0.9788810844010806,0.0938893226248231,-2.8782523958783934,-4.214209637987132e-8,-5.77294689374952e-7,1.7246375835241863
107,2,low,0.5,2.4039107664406652E-2,-0.29133322325570032,-110.36201609756436,C,3000,0.9851510100170525,0.9038012569318307,1.1429059881870247,-6.045007981669885,3.431265942004602e-6,-2.9714979892032647e-6,1.4709531491550776
118,2,low,0.29999999999999993,2.4718528557623479E-2,-0.29133607283822832,-99.292455569186998,C,3000,1.040616137769736,0.8810056610012403,1.0169631258723064,-6.063694003723704,1.4675193525486519e-5,-2.9026920803421063e-6,1.4514805385739504
125,2,low,10.007692307692308,2.3109187217787746E-2,-0.29135883272624691,-116.38172865434537,C,3000,0.9158823522622731,0.9933016852014324,1.2104775667046728,0.6780858495174358,-4.780915272623254e-6,-1.0631228862933996e-6,1.545075653930843
126,2,low,0.40000000000000008,2.4061549102421653E-2,-0.29133551917199146,-99.961184560208238,C,3000,1.009508369374603,0.8986593125295793,0.9703317443235697,-6.055809468805073,2.1376246369020355e-6,-2.8769319282471173e-6,1.4927560309426753
154,2,low,0.5,2.4446100643851307E-2,-0.69291603183379524,-111.27783380790446,C,500,0.9788266094656844,0.9515293116213085,1.1287189352842153,-2.8988788748109178,-4.867811721405602e-6,-1.3488046828472378e-5,1.4409462381212341
105,2,high,0.5,2.4053768858335774E-2,-0.52755878135939549,-11.309205798293299,C,3000,0.9520908786328366,0.9231503673493127,0.12199938514405974,-6.0126572641008575,-1.0651827824456477e-6,-1.8136109121300592e-6,1.5846395018773483
127,2,high,10,2.3120995267766595E-2,-0.52757893569880199,-11.286631204923472,C,3000,0.9540684023062017,1.0127917684109176,0.11215198434836805,0.8724335550504341,-3.723558066823507e-7,1.2793534298216613e-7,1.6071624944917366
150,2,high,15,7.5980023919371517E-2,-0.52758250913579996,-11.247552581452979,C,500,0.9094465884723417,1.0330485207129174,0.07357999557256444,1.1006163183657802,-7.15352796759916e-6,7.842234098533573e-6,2.406998962827275
151,2,high,14.996666666666666,2.2209895777175647E-2,-0.52757296345442162,-10.128652239928856,C,500,0.9537647957221721,1.0314680129312284,0.06960982424280472,1.1460862750410763,-3.7435191923995137e-6,1.5921342213854218e-5,1.5116703649103032
152,2,high,15.00344827586207,4.6110984293437303E-2,-0.5275596302975889,-9.7568620078289872,C,500,0.9636176091775018,1.0170834114039875,0.1638210278354989,0.4467662655932747,-7.898846219875244e-6,5.6538778477879244e-6,1.5970925715514461
153,2,high,20,2.2590403908833941E-2,-0.52757513488626362,-10.21461550140822,C,500,0.9603300310139439,1.0225279329321217,0.07136756312221491,1.261853016022074,-1.8437958726655878e-6,-5.980609683332361e-6,1.4192190204193902
156,2,high,0.5,2.4341741191036756E-2,-0.45669171449968832,-12.285923280013334,C,500,0.9609569774007357,0.9472994320155691,0.15878332514581509,-2.8939990581930646,-5.961028443613237e-6,-9.817751692001053e-6,1.6157944496752277
